lr,hidden_dim,dropout,margin,val_loss,val_rank,n_pairs,skipped_batches
0.0005,512,0.1,0.05,0.03779122190813771,0.03779122190813771,2323,0
0.0003,512,0.1,0.05,0.03811191019509509,0.03811191019509509,2323,0
0.0005,256,0.1,0.05,0.03814779169331503,0.03814779169331503,2323,0
0.0003,256,0.1,0.05,0.038744816560582054,0.038744816560582054,2323,0
0.0003,512,0.1,0.1,0.07523327259714882,0.07523327259714882,2323,0
0.0005,512,0.1,0.1,0.07584178573449932,0.07584178573449932,2323,0
0.0005,256,0.1,0.1,0.07640268986229233,0.07640268986229233,2323,0
0.0003,256,0.1,0.1,0.07744806867014269,0.07744806867014269,2323,0
